item_id,activity,unit_action,low_wh,mid_wh,high_wh,water_low_ml,water_mid_ml,water_high_ml,source_url,source_date,confidence,notes
google_search_query_2009,Google Search,one search query,0.2,0.3,0.5,0,0,0,https://googleblog.blogspot.com/2009/01/powering-google-search.html,2009-01-11,low,"Google's published estimate from 2009; retained as low-confidence historical benchmark."
tv_watch_9_seconds_2025,TV watching,9 seconds of TV watching,0.2,0.24,0.3,0,0,0,https://cloud.google.com/blog/products/infrastructure/optimizing-ai-and-ml-workloads-for-environmental-sustainability,2025-09-08,medium,"Google states one Gemini prompt (~0.24 Wh) is equivalent to ~9 seconds of TV."
netflix_watch_1_hour_tv_equivalent_2025,Netflix,1 hour streaming on TV-equivalent baseline,80,96,120,0,0,0,https://cloud.google.com/blog/products/infrastructure/optimizing-ai-and-ml-workloads-for-environmental-sustainability,2025-09-08,low,"Derived from Google's 9-second TV equivalence anchor; content delivery/network overhead not independently modeled."
youtube_watch_10_min_tv_equivalent_2025,YouTube,10 minutes streaming on TV-equivalent baseline,13.3,16,20,0,0,0,https://cloud.google.com/blog/products/infrastructure/optimizing-ai-and-ml-workloads-for-environmental-sustainability,2025-09-08,low,"Derived from Google's 9-second TV equivalence anchor; content delivery/network overhead not independently modeled."
microwave_1_minute_1000w_2024,Microwave cooking,1 minute at 1,000 W,13.3,16.7,20,0,0,0,https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety,2024-11-25,medium,"USDA guidance references microwave wattage ranges; energy is a direct power x time calculation."
car_passenger_mile_2019,Passenger car travel,1 passenger-mile by car,820,861,900,0,0,0,https://www.amtrak.com/content/dam/projects/dotcom/english/public/documents/corporate/planning/Amtrak-Service-Line-Plans-FY2020-2024.pdf,2020-01-01,medium,"Uses ORNL Transportation Energy Data Book values reported in Amtrak service plan: 2,939 BTU/passenger-mile for auto."
rail_passenger_mile_2019,Passenger rail travel,1 passenger-mile by rail,430,455,480,0,0,0,https://www.amtrak.com/content/dam/projects/dotcom/english/public/documents/corporate/planning/Amtrak-Service-Line-Plans-FY2020-2024.pdf,2020-01-01,medium,"Uses ORNL Transportation Energy Data Book values reported in Amtrak service plan: 1,551 BTU/passenger-mile for rail."
flight_passenger_mile_2019,Commercial flight travel,1 passenger-mile by air,650,680,710,0,0,0,https://www.amtrak.com/content/dam/projects/dotcom/english/public/documents/corporate/planning/Amtrak-Service-Line-Plans-FY2020-2024.pdf,2020-01-01,medium,"Uses ORNL Transportation Energy Data Book values reported in Amtrak service plan: 2,320 BTU/passenger-mile for domestic air."
internet_transfer_1gb_iea_2022,Internet data transfer,1 GB transferred over data networks,59,70,82,0,0,0,https://www.iea.org/energy-system/buildings/data-centres-and-data-transmission-networks,2024-01-01,medium,"Derived from IEA 2022 ranges: 260-360 TWh network electricity and ~4.4 ZB traffic."
bicycle_pedal_1_mile_2024,Bicycle riding,1 mile at moderate pace (~10 mph),28,34,41,0,0,0,https://www.cdc.gov/healthy-weight-growth/physical-activity/physical-activity-basics/measuring-physical-activity/intensity.html,2024-01-19,low,"Derived from CDC calories-burned table for bicycling under 10 mph and kcal-to-Wh conversion."
almond_one_nut_2021,Almond consumption,one almond,0,0,0,9000,12000,15000,https://www.mdpi.com/2071-1050/13/12/6697,2021-06-11,medium,"Paper estimates around 12 liters of water per almond in California under current conditions."
golf_course_irrigation_one_day_2020,Golf course irrigation,one golf course irrigation day,0,0,0,120000000,149369582,180000000,https://www.gcsaa.org/media/news-release/2024/04/08/new-data-available-on-water-use-and-conservation-practices-on-u.s.-golf-courses,2024-04-08,medium,"Derived from GCSAA estimate of 44.2 acre-feet annual water use per U.S. golf facility in 2020."
